25	108	13	32	11	3	0	100	22	15	12	3	19	5	14	1	2	3	7	4	0	5	1	5	4	0	0	6	3	1	3	0	2	0	2	0	1	0	4	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
524	2166	210	644	169	16	0	1906	326	202	205	58	346	117	216	12	3	27	78	56	5	85	22	52	43	22	9	53	33	42	88	10	12	5	26	7	4	17	26	1	7	8	2	3	21	13	17	6	5	15	7	1	8	2	29	8	3	0	0	7	2	4	13	8	0	0	15	30	0	9	8	0	0	1	2	5	2	2	12	3	5	3	2	1	3	2	2	2	7	4	2	5	4	7	2	1	5	8	0	5	0	8	0	0	0	2	9	0	1	0	5	0	0	10	1	0	1	2	0	2	0	2	2	1	2	4	1	0	6	0	8	0	3	0	4	3	1	1	0	1	8	0	1	0	0	1	0	6	0	0	2	0	1	2	0	1	0	0	3	3	2	9	0	2	2	1	0	0	0	0	1	0	1	1	3	1
494	2310	213	613	209	22	1	2033	323	222	205	73	344	155	205	11	6	32	67	42	7	84	26	60	48	26	14	62	23	22	114	6	28	1	29	14	12	11	33	3	6	3	1	1	16	14	21	7	6	17	6	0	5	1	28	3	12	2	2	9	4	1	17	1	0	0	9	26	0	10	6	0	1	3	2	7	1	4	12	4	11	2	2	1	3	2	2	4	3	3	4	5	2	4	5	0	8	5	0	8	1	6	0	5	0	2	14	0	0	0	3	1	0	6	1	2	1	1	0	2	0	0	2	2	3	8	1	0	5	0	4	0	1	0	5	3	1	1	1	4	9	0	3	0	1	1	1	4	1	1	0	0	1	1	0	0	0	3	2	5	1	0	0	1	0	2	1	0	1	2	1	0	3	5	2	0
161	735	75	204	66	10	1	646	99	73	68	22	115	38	70	7	1	7	24	13	6	30	5	19	14	5	8	18	14	9	31	1	6	0	25	2	6	9	15	2	1	4	0	1	7	7	6	1	3	6	2	2	0	0	18	5	1	1	0	1	2	1	6	0	0	0	4	13	0	1	3	0	0	1	0	2	0	1	4	0	1	2	0	0	0	1	2	3	1	1	0	5	0	1	1	0	5	3	0	1	0	2	1	0	0	0	4	0	1	0	1	0	0	1	4	0	1	0	0	1	0	0	0	1	0	5	0	1	0	0	2	0	0	0	1	2	0	0	1	2	2	0	0	0	0	1	0	4	0	1	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	2	2	0	0	0	1	0	2	1	0	1
99	476	37	143	40	5	1	408	55	57	36	14	63	32	45	4	2	6	12	4	3	17	5	9	6	5	5	10	3	6	18	1	2	1	8	0	3	3	11	0	1	0	0	1	2	1	6	1	2	5	3	0	0	0	4	1	0	0	0	5	0	0	3	2	0	0	4	5	0	5	3	0	0	0	0	4	0	1	1	0	1	0	2	0	0	1	1	0	1	2	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	0	2	0	0	0	3	0	0	0	1	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	2	0
463	1986	191	539	179	26	0	1735	271	217	187	53	308	111	190	11	6	17	71	33	9	83	18	41	37	25	13	50	20	24	63	5	15	0	39	9	8	9	27	2	8	7	1	1	20	8	16	2	4	10	9	0	6	0	25	6	5	2	0	6	2	4	19	3	1	0	5	13	0	9	8	1	1	3	0	6	3	7	11	0	12	1	3	0	3	4	4	3	6	5	2	12	3	5	3	2	8	3	0	2	0	2	0	5	0	2	9	0	0	0	4	1	0	4	3	1	0	3	0	2	0	0	3	1	3	3	0	0	5	1	2	0	0	2	1	2	2	2	0	2	9	0	0	0	0	1	0	4	0	1	3	0	0	2	0	0	0	2	1	5	1	9	0	4	3	1	0	0	0	1	0	0	0	2	3	0
166	613	74	174	56	12	0	544	90	74	68	24	117	44	58	4	1	11	30	18	4	28	6	14	17	4	4	9	10	9	28	0	2	0	7	2	7	3	5	0	3	1	1	0	6	1	5	4	1	3	2	1	2	0	10	2	6	1	0	1	1	0	2	0	1	0	4	11	1	3	2	1	0	0	2	1	1	4	7	2	3	1	1	0	2	0	0	0	4	0	0	3	3	2	0	0	1	2	0	1	0	2	0	0	0	0	3	0	0	0	1	1	0	4	1	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	2	0	0	0	1	1	0	0	0	4	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	2	1
50	245	23	70	29	3	0	191	30	23	21	7	46	10	29	1	0	2	7	6	0	7	6	6	2	3	3	8	5	5	5	0	0	0	7	2	0	4	5	0	2	1	0	0	3	0	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	1	2	0	0	2	4	0	1	2	0	0	0	0	1	0	0	2	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0
477	2089	186	609	176	32	0	1799	278	184	197	67	309	118	197	12	4	21	71	44	4	87	22	47	48	25	12	67	26	28	80	3	12	1	38	7	4	7	36	3	8	5	2	4	17	15	16	3	10	20	15	0	3	1	28	8	7	0	3	7	1	7	13	3	0	1	12	23	0	13	12	2	0	3	0	7	4	2	7	0	7	2	2	0	1	2	3	3	7	4	7	5	3	7	3	0	2	7	0	4	0	9	0	5	0	3	12	1	0	0	4	1	0	4	1	2	0	1	0	5	0	2	4	0	0	11	0	0	9	1	2	0	1	1	4	5	0	6	0	2	3	0	1	0	1	2	0	4	0	1	3	0	0	0	0	0	0	1	1	4	1	2	0	2	1	0	1	1	0	0	0	0	1	4	4	1
340	1527	138	409	107	21	0	1242	214	152	132	50	238	84	147	1	4	11	51	19	4	51	14	29	21	17	14	56	25	26	54	3	8	2	23	3	6	11	14	1	7	5	2	0	8	3	11	4	4	10	9	1	2	0	21	5	9	2	2	7	1	1	12	5	0	0	4	15	0	9	6	1	1	2	2	7	3	4	9	1	2	1	2	0	1	3	3	2	3	2	3	5	3	4	3	0	4	8	0	5	0	6	3	1	0	2	10	0	0	0	3	2	0	2	2	0	0	5	0	3	0	0	0	0	1	2	1	1	4	1	4	0	0	0	5	1	0	0	0	3	8	0	0	0	1	0	0	4	1	1	0	0	0	0	0	0	0	2	2	2	0	1	2	0	0	0	0	0	0	0	0	0	2	0	2	1
