415	456	34	72	85	328	118	95	25	53	0	62	163	22	14	73	37	39	5	2	4	18	0	6	2	11	4	6	4	12	4	4	7	5	0	27	9	0	2	0	1	6	16	5	2	1	5	9	8	2	3	2	0	2	2	0	2	6	0	3	3	3	0	1	0	0	0	0	0	1	3	1	1	0	1	0	1	0	6	1	2	6	2	5	2	2	2	0	1	1	1	1	0	1	3	2	2	2	0	1	0	1	2	1	1	0	1	0	0	0	4	0	0	1	0	0	2	1	3	3	1	4	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0
234	246	19	40	42	189	74	53	9	27	1	29	106	14	14	50	14	21	1	3	2	14	0	6	0	11	1	1	2	3	2	0	3	3	1	13	9	0	0	0	0	4	10	4	1	1	3	2	2	1	0	2	0	1	1	2	2	2	0	3	2	0	0	0	2	0	1	0	0	0	2	4	0	0	0	2	0	0	3	0	1	3	1	0	3	0	0	1	0	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	2	0	1	2	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
228	202	18	39	40	181	71	50	12	18	0	40	97	7	5	31	18	21	2	6	3	13	0	4	1	4	1	0	2	4	4	1	5	4	2	12	7	1	1	0	0	1	7	2	2	0	4	5	0	4	2	0	0	3	2	0	0	2	0	1	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	2	0	1	0	1	0	2	2	0	2	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0
227	235	21	50	46	184	82	55	16	24	0	38	106	6	13	48	21	18	1	0	2	7	1	5	1	5	1	0	3	6	4	0	4	4	1	17	5	0	2	0	0	3	12	3	1	1	2	5	4	1	0	0	0	2	1	1	2	5	0	1	3	1	2	0	0	0	0	0	0	1	4	1	1	0	0	1	3	0	3	0	1	3	0	2	1	0	1	0	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
11	18	0	2	1	14	4	7	0	2	0	3	3	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	432	41	82	93	305	116	99	21	40	0	51	144	21	10	87	29	33	1	0	9	22	3	11	4	10	1	1	1	3	4	0	7	5	1	19	9	0	0	0	0	5	11	7	3	0	1	7	4	3	0	2	0	5	5	1	4	2	0	6	5	0	1	2	0	0	0	2	0	0	2	1	1	1	1	1	0	0	1	1	0	4	2	2	2	2	0	1	0	1	0	1	0	1	1	2	1	1	0	2	0	0	0	1	0	1	0	0	1	1	1	3	1	1	0	0	4	0	1	1	1	4	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	0	0	0	1	0	0
748	793	68	149	152	541	209	196	28	73	4	105	258	40	30	144	48	58	2	1	9	36	1	16	7	23	5	5	5	11	11	3	13	10	3	32	23	4	4	0	3	6	21	5	6	0	5	8	13	2	0	3	3	2	1	0	1	15	0	6	8	6	3	1	1	0	0	3	1	0	9	2	1	0	1	1	2	2	4	3	3	13	2	6	4	0	1	5	0	6	1	4	2	1	2	0	1	2	1	1	0	0	1	3	0	1	0	0	0	0	2	0	1	0	0	0	4	4	7	2	1	1	2	0	1	3	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0
559	662	62	107	140	456	185	147	29	64	1	89	208	26	24	117	46	53	2	4	2	28	3	11	7	11	4	6	1	5	9	4	14	6	3	25	13	2	5	0	0	6	23	6	1	0	3	8	11	4	1	3	0	3	2	0	4	4	0	4	8	2	2	0	0	0	1	4	0	1	12	2	0	0	0	0	3	0	3	7	2	5	2	2	2	2	3	1	1	1	0	1	0	1	3	3	3	0	0	3	0	0	0	0	2	1	0	0	0	1	3	0	1	2	0	0	3	2	1	2	4	3	1	0	1	1	1	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	2	0	0
52	58	5	12	8	43	20	14	2	3	0	5	17	3	1	11	4	2	0	1	0	3	0	1	0	1	0	0	0	3	1	0	0	0	1	4	0	0	0	0	1	1	3	1	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	49	8	9	11	53	20	15	4	0	0	13	20	3	1	8	4	5	1	1	0	0	0	2	3	3	0	0	1	0	0	0	1	1	1	3	3	0	0	0	0	0	3	1	0	0	1	1	3	1	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
324	335	27	67	51	253	97	98	16	37	0	43	134	14	14	64	26	25	2	2	4	13	1	10	2	6	6	0	3	4	7	0	4	6	2	14	7	3	2	0	0	3	11	3	4	0	5	6	5	3	0	1	0	3	3	0	0	3	0	6	6	1	0	0	0	0	0	2	1	0	6	2	1	0	0	0	1	0	2	3	0	4	3	0	4	0	2	1	1	2	2	3	1	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	1	1	3	1	1	0	1	0	0	0	0	0	0	0	1	0	2	1	0	0	0	1	1	0	0	1	0	0	1	0	0
1029	1074	89	167	211	796	303	237	56	119	4	150	379	55	42	186	74	77	9	4	10	48	3	20	5	17	13	9	8	22	16	4	13	18	7	53	18	7	4	1	6	7	36	10	7	2	7	17	22	10	4	5	0	3	5	3	3	9	0	6	12	7	7	3	0	0	2	5	1	1	13	4	0	1	1	2	3	1	4	5	5	8	7	2	3	0	6	7	1	4	2	4	4	1	2	5	1	4	2	3	0	0	2	2	0	1	0	0	1	1	2	0	1	0	0	0	4	5	1	10	2	5	0	0	0	0	3	0	0	1	0	3	2	3	1	1	1	1	3	0	0	1	1	0	3	0	0
1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	6	1	1	0	3	0	0	0	1	0	2	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
281	343	25	57	65	248	99	72	17	39	0	50	125	17	12	62	24	33	1	1	4	11	3	8	3	9	3	2	2	5	4	2	6	3	3	16	10	0	5	0	0	2	14	4	0	0	0	7	3	2	1	0	0	1	3	1	5	2	0	6	6	3	0	2	0	0	0	6	0	2	1	4	0	1	0	1	1	1	3	0	0	4	3	1	3	0	1	6	0	2	0	2	0	2	0	0	0	2	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	2	1	0	2	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0
665	694	61	136	127	487	204	184	40	69	3	101	268	26	33	132	42	61	3	7	9	37	2	12	11	8	8	3	5	10	13	1	10	7	3	21	18	2	4	1	1	10	25	12	5	1	1	19	12	5	4	3	1	6	3	1	2	3	0	9	8	6	2	0	1	0	0	2	2	2	7	2	1	2	0	2	1	1	3	0	1	8	3	5	2	0	3	3	1	6	1	1	0	1	2	1	0	3	0	2	0	0	1	0	3	1	0	0	1	0	2	1	0	0	1	0	3	4	2	4	2	2	1	0	0	1	1	0	0	0	0	0	2	0	2	0	1	1	1	2	1	0	0	0	2	0	0
