10	10	2	1	0	7	2	2	4	5	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	511	58	44	33	239	80	52	88	164	28	10	51	7	82	22	15	18	39	16	6	13	6	21	1	6	0	4	0	4	2	6	4	11	1	4	2	4	8	1	8	2	4	7	0	1	4	0	1	1	2	4	0	5	4	4	0	2	7	2	2	9	1	1	0	2	3	2	2	2	0	0	0	0	3	0	3	4	5	4	5	2	0	1	1	1	1	6	1	3	1	1	1	1	2	2	1	0	1	0	0	0	1	2	2	0	2	0	0	0	0	0	0	1	0	1	0	1	0	1	0	3	0	2	2	4	2	1	0	1	0	3	0	0	0	0	1	0	0	0	0
181	265	30	32	14	129	50	28	36	80	11	2	28	2	26	12	5	7	28	10	2	7	3	13	1	1	0	0	0	0	0	3	4	2	1	2	5	5	2	2	5	0	2	2	0	0	0	0	0	4	0	3	0	0	0	5	0	1	2	0	0	4	0	2	0	3	1	0	0	5	0	0	0	1	2	0	0	3	2	2	1	2	0	0	1	0	0	1	0	0	0	1	0	0	0	4	0	1	1	0	0	0	2	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	3	0	0	1	0	0	0
70	88	10	9	7	52	13	5	21	33	3	0	6	2	19	4	1	4	7	0	0	2	0	2	0	1	0	1	0	2	1	1	0	1	1	0	1	3	0	0	2	1	0	0	0	0	0	1	0	0	1	0	0	0	0	2	1	1	0	0	0	2	0	0	0	2	1	1	0	1	0	0	1	0	0	0	0	1	1	0	2	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
106	139	29	14	11	107	22	16	32	60	10	1	19	0	28	5	3	9	13	6	0	8	0	11	1	0	0	3	0	0	0	3	2	1	0	2	3	3	4	0	3	1	0	2	0	0	0	1	0	3	1	1	0	1	1	0	1	5	0	1	1	1	0	2	3	0	0	0	0	1	0	0	3	0	3	0	0	0	3	3	1	0	0	1	1	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
5	14	1	2	1	5	0	2	2	5	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19	21	0	1	2	11	4	5	7	9	2	1	5	0	3	2	0	1	3	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	109	21	13	5	60	25	11	20	36	6	3	16	1	19	3	5	5	7	1	1	3	0	3	0	0	0	0	1	1	0	1	1	3	0	1	1	3	1	0	4	0	1	0	0	0	0	0	0	1	3	0	0	0	0	1	0	1	0	0	1	1	0	3	0	2	0	0	0	1	0	0	1	0	0	1	0	1	2	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	2	3	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
14	35	6	3	2	9	2	1	3	6	1	0	3	1	2	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	61	10	10	4	32	17	2	9	27	2	1	7	1	12	2	3	3	5	2	0	4	0	1	0	0	0	0	0	0	1	0	2	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
